id,set_num
89,75094-1
234,75046-1
286,75056-12
323,8010-1
347,911618-1
666,75023-8
685,7958-20
687,75041-1
701,75100-1
743,75056-3
766,7958-1
784,9509-12
878,75056-4
889,66432-1
951,8008-1
968,MAY2013-1
1050,7958-16
1197,75108-1
1282,30059-1
1298,7958-3
1386,75023-15
1391,9509-10
1422,75036-1
1447,9748-1
1603,7194-1
1764,TRUFALCON-1
1799,SW911511-1
1900,75023-2
2062,75097-1
2161,75029-1
2261,5001621-1
2277,7958-11
2323,30276-1
2535,75102-1
2539,75110-1
2569,75112-1
2584,75056-1
2679,9509-6
2923,7958-24
2998,75042-1
3110,5001308-1
3204,9509-13
3418,5002947-1
3486,75023-14
3505,75023-19
3589,4547551-1
3690,5000067-1
3849,7958-12
3884,75023-20
3904,75044-1
3939,7958-13
3941,66449-1
4051,75023-1
4109,75043-1
4126,9509-23
4297,7958-25
4451,9509-15
4478,9509-7
4539,2853835-1
4591,7958-22
4653,9509-11
4679,75056-10
4871,75023-11
4884,5002123-1
5166,7958-19
5227,75023-12
5276,75023-17
5404,comcon015-1
5581,9509-20
5853,8009-1
5854,9509-9
6038,75023-9
6181,K8008-1
6183,75111-1
6242,75055-1
6251,75023-21
6275,75056-21
6277,75056-16
6280,75023-24
6311,7958-6
6745,7958-21
6904,8000-1
7131,75134-1
7193,8007-1
7199,SW911607-1
7302,75056-18
7401,75051-1
7505,75101-1
7521,75056-2
7562,5001309-1
7606,7958-14
7753,75023-23
7754,75035-1
7850,9509-1
7869,75159-1
7870,9509-18
7940,30246-1
8018,SW911616-1
8121,75056-7
8154,75056-6
8184,7958-17
8251,75107-1
8329,7958-23
8405,75056-14
8426,75023-6
8711,75056-9
8907,75105-1
8960,75056-8
8988,9509-14
9220,75056-19
9257,9509-8
9283,66411-1
9301,75049-1
9451,75056-23
9559,8002-1
9584,911614-1
9635,75056-24
9641,9509-17
9984,75056-13
9988,30602-1
10213,SDCC2015-2
10220,75023-13
10404,75023-25
10432,9509-2
10441,911615-1
10561,5001137-1
10621,7958-8
10663,9509-5
10676,66395-1
10682,7958-15
10782,75056-25
10860,75001-1
10861,75056-11
11095,9509-24
11210,75023-16
11443,75045-1
11574,75037-1
11658,5002938-1
11774,75146-1
11777,75023-5
11863,8012-1
11882,7958-4
12011,75099-1
12074,75103-1
12118,SW911610-1
12196,9754-1
12312,75023-18
12553,8011-1
12672,9509-16
12709,9509-19
12725,9497-1
12754,911611-1
12783,7958-7
13027,75133-1
13107,9509-4
13129,9509-21
13289,9509-22
13385,75056-20
13418,75109-1
13675,SW911617-1
13686,75095-1
13733,7958-9
13736,7958-2
13754,75038-1
14248,66431-1
14260,75056-15
14276,65081-1
14337,30058-1
14416,75007-1
14426,comcon019-1
14454,7958-10
14475,75023-4
14482,8001-1
14521,10018-1
14532,75039-1
14588,7958-18
14599,75023-22
14777,75056-5
14874,celeb2015-1
14882,30247-1
15023,75050-1
15266,75034-1
15299,comcon032-1
15368,9509-3
15381,75023-3
15437,75023-7
15463,75040-1
15545,TRUXWING-2
15574,75056-22
15944,75023-10
15970,9509-25
16092,75056-17
16233,4481-1
16325,75104-1
16399,7958-5
17190,75162-1
17349,75175-1
17499,75525-1
17500,75524-1
17580,11912-1
17594,75523-1
17974,SW911722-1
18045,75144-1
18340,75174-1
18417,30611-1
18467,75178-1
18483,75185-1
18484,75186-1
18486,75531-1
18576,75167-1
